"ZIP
code [1]",Size of adjusted gross income,Number of returns
,,
,,(1)
17067,"$100,000 under $200,000",780
17067,"$200,000 or more",120
,,
17068,,"2,040"
17068,"$1 under $25,000",680
17068,"$25,000 under $50,000",540
17068,"$50,000 under $75,000",330
17068,"$75,000 under $100,000",230
17068,"$100,000 under $200,000",230
17068,"$200,000 or more",30
,,
17070,,"8,810"
17070,"$1 under $25,000",2630
17070,"$25,000 under $50,000",2230
17070,"$50,000 under $75,000",1490
17070,"$75,000 under $100,000",1050
17070,"$100,000 under $200,000",1200
17070,"$200,000 or more",210
,,
17073,,"2,660"
17073,"$1 under $25,000",830
17073,"$25,000 under $50,000",660
17073,"$50,000 under $75,000",510
17073,"$75,000 under $100,000",300
17073,"$100,000 under $200,000",300
17073,"$200,000 or more",60
,,
17074,,"3,570"
17074,"$1 under $25,000",1290
17074,"$25,000 under $50,000",930
17074,"$50,000 under $75,000",590
17074,"$75,000 under $100,000",370
17074,"$100,000 under $200,000",350
17074,"$200,000 or more",40
,,
17078,,"11,640"
17078,"$1 under $25,000",3800
17078,"$25,000 under $50,000",2500
17078,"$50,000 under $75,000",1810
17078,"$75,000 under $100,000",1250
17078,"$100,000 under $200,000",1860
17078,"$200,000 or more",420
,,
17082,,"1,550"
17082,"$1 under $25,000",580
17082,"$25,000 under $50,000",430
17082,"$50,000 under $75,000",250
17082,"$75,000 under $100,000",140
17082,"$100,000 under $200,000",150
17082,"$200,000 or more",** 0
,,
17084,,"2,080"
17084,"$1 under $25,000",740
17084,"$25,000 under $50,000",500
17084,"$50,000 under $75,000",310
17084,"$75,000 under $100,000",220
17084,"$100,000 under $200,000",260
17084,"$200,000 or more",50
,,
17086,,"1,110"
17086,"$1 under $25,000",400
17086,"$25,000 under $50,000",310
17086,"$50,000 under $75,000",220
17086,"$75,000 under $100,000",100
17086,"$100,000 under $200,000",80
17086,"$200,000 or more",** 0
,,
17087,,"1,290"
17087,"$1 under $25,000",430
17087,"$25,000 under $50,000",330
17087,"$50,000 under $75,000",230
17087,"$75,000 under $100,000",130
17087,"$100,000 under $200,000",150
17087,"$200,000 or more",20
,,
17090,,"2,600"
17090,"$1 under $25,000",820
17090,"$25,000 under $50,000",710
17090,"$50,000 under $75,000",400
17090,"$75,000 under $100,000",340
17090,"$100,000 under $200,000",300
17090,"$200,000 or more",30
,,
17094,,"1,150"
17094,"$1 under $25,000",420
17094,"$25,000 under $50,000",320
17094,"$50,000 under $75,000",170
17094,"$75,000 under $100,000",120
17094,"$100,000 under $200,000",120
17094,"$200,000 or more",** 0
,,
17098,,"1,170"
17098,"$1 under $25,000",440
17098,"$25,000 under $50,000",350
17098,"$50,000 under $75,000",180
17098,"$75,000 under $100,000",120
17098,"$100,000 under $200,000",80
17098,"$200,000 or more",** 0
,,
17099,,550
17099,"$1 under $25,000",230
17099,"$25,000 under $50,000",160
17099,"$50,000 under $75,000",90
17099,"$75,000 under $100,000",40
17099,"$100,000 under $200,000",30
17099,"$200,000 or more",** 0
,,
17101,,"1,160"
17101,"$1 under $25,000",510
17101,"$25,000 under $50,000",360
17101,"$50,000 under $75,000",170
17101,"$75,000 under $100,000",60
17101,"$100,000 under $200,000",60
17101,"$200,000 or more",** 0
,,
17102,,"4,180"
17102,"$1 under $25,000",1730
17102,"$25,000 under $50,000",1330
17102,"$50,000 under $75,000",590
17102,"$75,000 under $100,000",240
17102,"$100,000 under $200,000",240
17102,"$200,000 or more",50
,,
17103,,"6,010"
17103,"$1 under $25,000",3550
17103,"$25,000 under $50,000",1700
17103,"$50,000 under $75,000",460
17103,"$75,000 under $100,000",170
17103,"$100,000 under $200,000",130
17103,"$200,000 or more",** 0
,,
17104,,"8,990"
17104,"$1 under $25,000",5330
17104,"$25,000 under $50,000",2420
17104,"$50,000 under $75,000",690
17104,"$75,000 under $100,000",290
17104,"$100,000 under $200,000",230
17104,"$200,000 or more",30
,,
17109,,"13,030"
17109,"$1 under $25,000",4650
17109,"$25,000 under $50,000",4150
17109,"$50,000 under $75,000",2020
17109,"$75,000 under $100,000",1110
17109,"$100,000 under $200,000",1030
17109,"$200,000 or more",70
,,
17110,,"13,740"
17110,"$1 under $25,000",4900
17110,"$25,000 under $50,000",3430
17110,"$50,000 under $75,000",1980
17110,"$75,000 under $100,000",1280
17110,"$100,000 under $200,000",1730
17110,"$200,000 or more",420
,,
17111,,"17,410"
17111,"$1 under $25,000",5510
17111,"$25,000 under $50,000",4390
17111,"$50,000 under $75,000",2810
17111,"$75,000 under $100,000",1810
17111,"$100,000 under $200,000",2390
17111,"$200,000 or more",500
,,
17112,,"18,580"
17112,"$1 under $25,000",5330
17112,"$25,000 under $50,000",3760
17112,"$50,000 under $75,000",2910
17112,"$75,000 under $100,000",2180
17112,"$100,000 under $200,000",3460
17112,"$200,000 or more",940
,,
17113,,"5,810"
17113,"$1 under $25,000",2610
17113,"$25,000 under $50,000",1710
17113,"$50,000 under $75,000",790
17113,"$75,000 under $100,000",400
17113,"$100,000 under $200,000",300
17113,"$200,000 or more",** 0
,,
17201,,"13,600"
17201,"$1 under $25,000",5530
17201,"$25,000 under $50,000",3850
17201,"$50,000 under $75,000",1930
17201,"$75,000 under $100,000",1050
17201,"$100,000 under $200,000",1050
17201,"$200,000 or more",190
,,
17202,,"15,040"
17202,"$1 under $25,000",4950
17202,"$25,000 under $50,000",3500
17202,"$50,000 under $75,000",2390
17202,"$75,000 under $100,000",1690
17202,"$100,000 under $200,000",2080
17202,"$200,000 or more",430
,,
17211,,210
17211,"$1 under $25,000",100
17211,"$25,000 under $50,000",50
17211,"$50,000 under $75,000",30
17211,"$75,000 under $100,000",30
17211,"$100,000 under $200,000",** 0
17211,"$200,000 or more",** 0
,,
17212,,300
17212,"$1 under $25,000",90
17212,"$25,000 under $50,000",80
17212,"$50,000 under $75,000",60
17212,"$75,000 under $100,000",40
17212,"$100,000 under $200,000",30
17212,"$200,000 or more",** 0
,,
17213,,260
17213,"$1 under $25,000",90
17213,"$25,000 under $50,000",70
17213,"$50,000 under $75,000",50
17213,"$75,000 under $100,000",30
17213,"$100,000 under $200,000",20
17213,"$200,000 or more",** 0
,,
17214,,610
17214,"$1 under $25,000",230
17214,"$25,000 under $50,000",150
17214,"$50,000 under $75,000",90
17214,"$75,000 under $100,000",60
17214,"$100,000 under $200,000",80
17214,"$200,000 or more",** 0
,,
17215,,160
17215,"$1 under $25,000",70
17215,"$25,000 under $50,000",40
17215,"$50,000 under $75,000",20
17215,"$75,000 under $100,000",30
17215,"$100,000 under $200,000",** 0
17215,"$200,000 or more",** 0
,,
17219,,150
17219,"$1 under $25,000",50
17219,"$25,000 under $50,000",50
17219,"$50,000 under $75,000",20
17219,"$75,000 under $100,000",30
17219,"$100,000 under $200,000",** 0
17219,"$200,000 or more",** 0
,,
17220,,240
17220,"$1 under $25,000",90
17220,"$25,000 under $50,000",70
17220,"$50,000 under $75,000",40
17220,"$75,000 under $100,000",20
17220,"$100,000 under $200,000",20
17220,"$200,000 or more",** 0
,,
17221,,290
17221,"$1 under $25,000",120
17221,"$25,000 under $50,000",90
17221,"$50,000 under $75,000",40
17221,"$75,000 under $100,000",20
17221,"$100,000 under $200,000",20
17221,"$200,000 or more",** 0
,,
17222,,"5,560"
17222,"$1 under $25,000",1770
17222,"$25,000 under $50,000",1450
17222,"$50,000 under $75,000",900
17222,"$75,000 under $100,000",660
17222,"$100,000 under $200,000",690
17222,"$200,000 or more",90
,,
17223,,120
17223,"$1 under $25,000",50
17223,"$25,000 under $50,000",50
17223,"$50,000 under $75,000",** 0
17223,"$75,000 under $100,000",20
17223,"$100,000 under $200,000",** 0
17223,"$200,000 or more",** 0
,,
17224,,890
17224,"$1 under $25,000",320
17224,"$25,000 under $50,000",270
17224,"$50,000 under $75,000",130
17224,"$75,000 under $100,000",80
17224,"$100,000 under $200,000",90
17224,"$200,000 or more",** 0
,,
17225,,"9,710"
17225,"$1 under $25,000",3200
17225,"$25,000 under $50,000",2260
17225,"$50,000 under $75,000",1530
17225,"$75,000 under $100,000",1090
17225,"$100,000 under $200,000",1390
17225,"$200,000 or more",240
,,
17228,,490
17228,"$1 under $25,000",180
17228,"$25,000 under $50,000",140
17228,"$50,000 under $75,000",90
17228,"$75,000 under $100,000",40
17228,"$100,000 under $200,000",40
17228,"$200,000 or more",** 0
,,
17229,,620
17229,"$1 under $25,000",230
17229,"$25,000 under $50,000",170
17229,"$50,000 under $75,000",100
17229,"$75,000 under $100,000",70
17229,"$100,000 under $200,000",50
17229,"$200,000 or more",** 0
,,
17233,,"2,460"
17233,"$1 under $25,000",880
17233,"$25,000 under $50,000",690
17233,"$50,000 under $75,000",400
17233,"$75,000 under $100,000",240
17233,"$100,000 under $200,000",250
17233,"$200,000 or more",** 0
,,
17236,,"4,140"
17236,"$1 under $25,000",1390
17236,"$25,000 under $50,000",1080
17236,"$50,000 under $75,000",660
17236,"$75,000 under $100,000",470
17236,"$100,000 under $200,000",470
17236,"$200,000 or more",70
,,
17237,,830
17237,"$1 under $25,000",280
17237,"$25,000 under $50,000",260
17237,"$50,000 under $75,000",150
17237,"$75,000 under $100,000",90
17237,"$100,000 under $200,000",50
17237,"$200,000 or more",** 0
,,
17238,,880
17238,"$1 under $25,000",320
17238,"$25,000 under $50,000",260
17238,"$50,000 under $75,000",120
17238,"$75,000 under $100,000",80
17238,"$100,000 under $200,000",100
17238,"$200,000 or more",** 0
,,
17239,,100
17239,"$1 under $25,000",30
17239,"$25,000 under $50,000",50
17239,"$50,000 under $75,000",** 0
17239,"$75,000 under $100,000",20
17239,"$100,000 under $200,000",** 0
17239,"$200,000 or more",0
,,
17240,,"1,550"
17240,"$1 under $25,000",500
17240,"$25,000 under $50,000",410
17240,"$50,000 under $75,000",280
17240,"$75,000 under $100,000",190
17240,"$100,000 under $200,000",170
17240,"$200,000 or more",** 0
,,
17241,,"5,940"
17241,"$1 under $25,000",2100
17241,"$25,000 under $50,000",1570
17241,"$50,000 under $75,000",990
17241,"$75,000 under $100,000",630
17241,"$100,000 under $200,000",580
17241,"$200,000 or more",70
,,
17243,,590
17243,"$1 under $25,000",230
17243,"$25,000 under $50,000",140
17243,"$50,000 under $75,000",100
17243,"$75,000 under $100,000",60
17243,"$100,000 under $200,000",60
17243,"$200,000 or more",** 0
,,
17244,,"1,130"
17244,"$1 under $25,000",410
17244,"$25,000 under $50,000",290
17244,"$50,000 under $75,000",190
17244,"$75,000 under $100,000",120
17244,"$100,000 under $200,000",120
17244,"$200,000 or more",** 0
,,
17246,,110
17246,"$1 under $25,000",40
17246,"$25,000 under $50,000",40
17246,"$50,000 under $75,000",** 0
17246,"$75,000 under $100,000",30
17246,"$100,000 under $200,000",** 0
17246,"$200,000 or more",0
,,
17252,,"1,870"
17252,"$1 under $25,000",690
17252,"$25,000 under $50,000",510
17252,"$50,000 under $75,000",310
17252,"$75,000 under $100,000",180
17252,"$100,000 under $200,000",180
17252,"$200,000 or more",** 0
,,
17255,,480
17255,"$1 under $25,000",170
17255,"$25,000 under $50,000",120
17255,"$50,000 under $75,000",80
17255,"$75,000 under $100,000",60
17255,"$100,000 under $200,000",50
17255,"$200,000 or more",** 0
,,
17257,,"12,040"
17257,"$1 under $25,000",4330
17257,"$25,000 under $50,000",3130
17257,"$50,000 under $75,000",1890
17257,"$75,000 under $100,000",1250
17257,"$100,000 under $200,000",1280
17257,"$200,000 or more",160
,,
17260,,530
17260,"$1 under $25,000",210
17260,"$25,000 under $50,000",140
17260,"$50,000 under $75,000",100
17260,"$75,000 under $100,000",50
17260,"$100,000 under $200,000",30
17260,"$200,000 or more",** 0
,,
17262,,460
17262,"$1 under $25,000",180
17262,"$25,000 under $50,000",120
17262,"$50,000 under $75,000",80
17262,"$75,000 under $100,000",40
17262,"$100,000 under $200,000",40
17262,"$200,000 or more",** 0
,,
17264,,"1,070"
17264,"$1 under $25,000",380
17264,"$25,000 under $50,000",290
17264,"$50,000 under $75,000",200
17264,"$75,000 under $100,000",110
17264,"$100,000 under $200,000",90
17264,"$200,000 or more",** 0
,,
17265,,220
17265,"$1 under $25,000",80
17265,"$25,000 under $50,000",60
17265,"$50,000 under $75,000",50
17265,"$75,000 under $100,000",30
17265,"$100,000 under $200,000",** 0
17265,"$200,000 or more",0
,,
17266,,310
17266,"$1 under $25,000",100
17266,"$25,000 under $50,000",110
17266,"$50,000 under $75,000",40
17266,"$75,000 under $100,000",30
17266,"$100,000 under $200,000",30
17266,"$200,000 or more",** 0
,,
17267,,"1,310"
17267,"$1 under $25,000",440
17267,"$25,000 under $50,000",360
17267,"$50,000 under $75,000",230
17267,"$75,000 under $100,000",140
17267,"$100,000 under $200,000",140
17267,"$200,000 or more",** 0
,,
17268,,"14,060"
17268,"$1 under $25,000",4950
17268,"$25,000 under $50,000",3660
17268,"$50,000 under $75,000",2260
17268,"$75,000 under $100,000",1430
17268,"$100,000 under $200,000",1540
17268,"$200,000 or more",220
,,
17271,,190
17271,"$1 under $25,000",60
17271,"$25,000 under $50,000",50
17271,"$50,000 under $75,000",60
17271,"$75,000 under $100,000",** 0
17271,"$100,000 under $200,000",20
17271,"$200,000 or more",0
,,
17301,,"2,090"
17301,"$1 under $25,000",710
17301,"$25,000 under $50,000",500
17301,"$50,000 under $75,000",340
17301,"$75,000 under $100,000",260
17301,"$100,000 under $200,000",250
17301,"$200,000 or more",30
,,
17302,,"1,350"
17302,"$1 under $25,000",480
17302,"$25,000 under $50,000",330
17302,"$50,000 under $75,000",200
17302,"$75,000 under $100,000",150
17302,"$100,000 under $200,000",190
17302,"$200,000 or more",** 0
,,
17304,,"1,490"
17304,"$1 under $25,000",500
17304,"$25,000 under $50,000",400
17304,"$50,000 under $75,000",250
17304,"$75,000 under $100,000",170
17304,"$100,000 under $200,000",150
17304,"$200,000 or more",20
,,
17307,,"2,680"
17307,"$1 under $25,000",980
17307,"$25,000 under $50,000",640
17307,"$50,000 under $75,000",440
17307,"$75,000 under $100,000",280
17307,"$100,000 under $200,000",290
17307,"$200,000 or more",50
,,
17309,,"1,000"
17309,"$1 under $25,000",340
17309,"$25,000 under $50,000",250
17309,"$50,000 under $75,000",180
17309,"$75,000 under $100,000",110
17309,"$100,000 under $200,000",120
17309,"$200,000 or more",** 0
,,
17313,,"5,240"
17313,"$1 under $25,000",1810
17313,"$25,000 under $50,000",1380
17313,"$50,000 under $75,000",810
17313,"$75,000 under $100,000",530
17313,"$100,000 under $200,000",620
17313,"$200,000 or more",90
,,
17314,,"2,740"
17314,"$1 under $25,000",850
17314,"$25,000 under $50,000",660
17314,"$50,000 under $75,000",480
17314,"$75,000 under $100,000",320
17314,"$100,000 under $200,000",390
17314,"$200,000 or more",40
,,
17315,,"12,900"
17315,"$1 under $25,000",4370
17315,"$25,000 under $50,000",3180
17315,"$50,000 under $75,000",2230
17315,"$75,000 under $100,000",1520
17315,"$100,000 under $200,000",1450
17315,"$200,000 or more",150
,,
17316,,"4,260"
17316,"$1 under $25,000",1440
17316,"$25,000 under $50,000",890
17316,"$50,000 under $75,000",640
17316,"$75,000 under $100,000",530
17316,"$100,000 under $200,000",660
17316,"$200,000 or more",100
,,
17319,,"5,530"
17319,"$1 under $25,000",1660
17319,"$25,000 under $50,000",1210
17319,"$50,000 under $75,000",890
17319,"$75,000 under $100,000",690
17319,"$100,000 under $200,000",960
17319,"$200,000 or more",120
,,
17320,,"4,020"
17320,"$1 under $25,000",1280
17320,"$25,000 under $50,000",840
17320,"$50,000 under $75,000",640
17320,"$75,000 under $100,000",500
17320,"$100,000 under $200,000",670
17320,"$200,000 or more",90
,,
17321,,"1,120"
17321,"$1 under $25,000",340
17321,"$25,000 under $50,000",240
17321,"$50,000 under $75,000",170
17321,"$75,000 under $100,000",130
17321,"$100,000 under $200,000",210
17321,"$200,000 or more",30
,,
17322,,"2,910"
17322,"$1 under $25,000",1010
17322,"$25,000 under $50,000",640
17322,"$50,000 under $75,000",430
17322,"$75,000 under $100,000",360
17322,"$100,000 under $200,000",430
17322,"$200,000 or more",40
,,
17324,,"2,180"
17324,"$1 under $25,000",730
17324,"$25,000 under $50,000",570
17324,"$50,000 under $75,000",400
17324,"$75,000 under $100,000",220
17324,"$100,000 under $200,000",230
17324,"$200,000 or more",30
,,
17325,,"13,000"
17325,"$1 under $25,000",4590
17325,"$25,000 under $50,000",3090
17325,"$50,000 under $75,000",1790
17325,"$75,000 under $100,000",1310
17325,"$100,000 under $200,000",1770
17325,"$200,000 or more",450
,,
17327,,"3,750"
17327,"$1 under $25,000",1250
17327,"$25,000 under $50,000",800
17327,"$50,000 under $75,000",560
17327,"$75,000 under $100,000",420
17327,"$100,000 under $200,000",580
17327,"$200,000 or more",140
,,
17329,,"1,290"
17329,"$1 under $25,000",370
17329,"$25,000 under $50,000",240
17329,"$50,000 under $75,000",190
17329,"$75,000 under $100,000",170
17329,"$100,000 under $200,000",280
17329,"$200,000 or more",40
,,
17331,,"27,020"
17331,"$1 under $25,000",9410
17331,"$25,000 under $50,000",6600
17331,"$50,000 under $75,000",4150
17331,"$75,000 under $100,000",2980
17331,"$100,000 under $200,000",3310
17331,"$200,000 or more",570
,,
17339,,"3,560"
17339,"$1 under $25,000",990
17339,"$25,000 under $50,000",720
17339,"$50,000 under $75,000",530
17339,"$75,000 under $100,000",420
17339,"$100,000 under $200,000",690
17339,"$200,000 or more",210
,,
17340,,"5,540"
17340,"$1 under $25,000",1870
17340,"$25,000 under $50,000",1260
17340,"$50,000 under $75,000",840
17340,"$75,000 under $100,000",670
17340,"$100,000 under $200,000",800
17340,"$200,000 or more",100
,,
17344,,"1,830"
17344,"$1 under $25,000",770
17344,"$25,000 under $50,000",510
17344,"$50,000 under $75,000",280
17344,"$75,000 under $100,000",170
17344,"$100,000 under $200,000",100
17344,"$200,000 or more",** 0
,,
17345,,"3,940"
17345,"$1 under $25,000",1400
17345,"$25,000 under $50,000",1160
17345,"$50,000 under $75,000",610
17345,"$75,000 under $100,000",390
17345,"$100,000 under $200,000",360
17345,"$200,000 or more",20
,,
17347,,"3,060"
17347,"$1 under $25,000",900
17347,"$25,000 under $50,000",710
17347,"$50,000 under $75,000",440
17347,"$75,000 under $100,000",420
17347,"$100,000 under $200,000",540
17347,"$200,000 or more",50
,,
17349,,"4,100"
17349,"$1 under $25,000",1150
17349,"$25,000 under $50,000",700
17349,"$50,000 under $75,000",540
17349,"$75,000 under $100,000",510
17349,"$100,000 under $200,000",980
17349,"$200,000 or more",220
,,
17350,,"6,430"
17350,"$1 under $25,000",2360
17350,"$25,000 under $50,000",1670
17350,"$50,000 under $75,000",1030
17350,"$75,000 under $100,000",630
17350,"$100,000 under $200,000",630
17350,"$200,000 or more",110
,,
17352,,630
17352,"$1 under $25,000",220
17352,"$25,000 under $50,000",130
17352,"$50,000 under $75,000",100
17352,"$75,000 under $100,000",80
17352,"$100,000 under $200,000",100
17352,"$200,000 or more",** 0
,,
17353,,"1,510"
17353,"$1 under $25,000",510
17353,"$25,000 under $50,000",340
17353,"$50,000 under $75,000",240
17353,"$75,000 under $100,000",180
17353,"$100,000 under $200,000",210
17353,"$200,000 or more",30
,,
17356,,"11,440"
17356,"$1 under $25,000",4070
17356,"$25,000 under $50,000",2610
17356,"$50,000 under $75,000",1780
17356,"$75,000 under $100,000",1270
17356,"$100,000 under $200,000",1480
17356,"$200,000 or more",230
,,
17360,,"2,860"
17360,"$1 under $25,000",850
17360,"$25,000 under $50,000",540
17360,"$50,000 under $75,000",440
17360,"$75,000 under $100,000",340
17360,"$100,000 under $200,000",580
17360,"$200,000 or more",110
,,
17361,,"2,990"
17361,"$1 under $25,000",940
17361,"$25,000 under $50,000",510
17361,"$50,000 under $75,000",450
17361,"$75,000 under $100,000",340
17361,"$100,000 under $200,000",650
17361,"$200,000 or more",100
,,
17362,,"6,820"
17362,"$1 under $25,000",2170
17362,"$25,000 under $50,000",1540
17362,"$50,000 under $75,000",1080
17362,"$75,000 under $100,000",860
17362,"$100,000 under $200,000",1010
17362,"$200,000 or more",160
,,
17363,,"4,760"
17363,"$1 under $25,000",1500
17363,"$25,000 under $50,000",860
17363,"$50,000 under $75,000",650
17363,"$75,000 under $100,000",580
17363,"$100,000 under $200,000",1010
17363,"$200,000 or more",160
,,
17364,,"1,900"
17364,"$1 under $25,000",700
17364,"$25,000 under $50,000",490
17364,"$50,000 under $75,000",270
17364,"$75,000 under $100,000",200
17364,"$100,000 under $200,000",210
17364,"$200,000 or more",30
,,
17365,,"1,350"
17365,"$1 under $25,000",460
17365,"$25,000 under $50,000",300
17365,"$50,000 under $75,000",210
17365,"$75,000 under $100,000",160
17365,"$100,000 under $200,000",180
17365,"$200,000 or more",40
,,
17366,,"2,710"
17366,"$1 under $25,000",970
17366,"$25,000 under $50,000",720
17366,"$50,000 under $75,000",420
17366,"$75,000 under $100,000",290
17366,"$100,000 under $200,000",280
17366,"$200,000 or more",30
,,
17368,,"3,790"
17368,"$1 under $25,000",1250
17368,"$25,000 under $50,000",1000
17368,"$50,000 under $75,000",630
17368,"$75,000 under $100,000",420
17368,"$100,000 under $200,000",410
17368,"$200,000 or more",80
,,
17370,,"3,020"
17370,"$1 under $25,000",1010
17370,"$25,000 under $50,000",740
17370,"$50,000 under $75,000",490
17370,"$75,000 under $100,000",360
17370,"$100,000 under $200,000",380
17370,"$200,000 or more",40
,,
17372,,"2,100"
17372,"$1 under $25,000",720
17372,"$25,000 under $50,000",530
17372,"$50,000 under $75,000",330
17372,"$75,000 under $100,000",230
17372,"$100,000 under $200,000",260
17372,"$200,000 or more",30
,,
17401,,"7,940"
17401,"$1 under $25,000",5190
17401,"$25,000 under $50,000",2050
17401,"$50,000 under $75,000",440
17401,"$75,000 under $100,000",150
17401,"$100,000 under $200,000",80
17401,"$200,000 or more",30
,,
17402,,"17,180"
17402,"$1 under $25,000",5790
17402,"$25,000 under $50,000",3640
17402,"$50,000 under $75,000",2470
17402,"$75,000 under $100,000",1800
17402,"$100,000 under $200,000",2780
17402,"$200,000 or more",700
,,
17403,,"17,910"
17403,"$1 under $25,000",7520
17403,"$25,000 under $50,000",4220
17403,"$50,000 under $75,000",2060
17403,"$75,000 under $100,000",1410
17403,"$100,000 under $200,000",1920
17403,"$200,000 or more",780
,,
17404,,"18,270"
17404,"$1 under $25,000",7030
17404,"$25,000 under $50,000",4630
17404,"$50,000 under $75,000",2410
17404,"$75,000 under $100,000",1580
17404,"$100,000 under $200,000",2100
17404,"$200,000 or more",520
,,
17406,,"12,140"
17406,"$1 under $25,000",4020
17406,"$25,000 under $50,000",3000
17406,"$50,000 under $75,000",2050
17406,"$75,000 under $100,000",1330
17406,"$100,000 under $200,000",1450
17406,"$200,000 or more",290
,,
17407,,"1,050"
17407,"$1 under $25,000",310
17407,"$25,000 under $50,000",210
17407,"$50,000 under $75,000",150
17407,"$75,000 under $100,000",120
17407,"$100,000 under $200,000",230
17407,"$200,000 or more",30
,,
17408,,"12,120"
17408,"$1 under $25,000",3950
17408,"$25,000 under $50,000",2730
17408,"$50,000 under $75,000",1990
17408,"$75,000 under $100,000",1450
17408,"$100,000 under $200,000",1730
17408,"$200,000 or more",270
,,
17501,,"2,350"
17501,"$1 under $25,000",780
17501,"$25,000 under $50,000",630
17501,"$50,000 under $75,000",420
17501,"$75,000 under $100,000",260
17501,"$100,000 under $200,000",230
17501,"$200,000 or more",30
,,
17502,,"1,340"
17502,"$1 under $25,000",450
17502,"$25,000 under $50,000",300
17502,"$50,000 under $75,000",230
17502,"$75,000 under $100,000",170
17502,"$100,000 under $200,000",170
17502,"$200,000 or more",20
,,
17505,,830
17505,"$1 under $25,000",310
17505,"$25,000 under $50,000",240
17505,"$50,000 under $75,000",120
17505,"$75,000 under $100,000",60
17505,"$100,000 under $200,000",70
17505,"$200,000 or more",30
,,
17508,,560
17508,"$1 under $25,000",190
17508,"$25,000 under $50,000",110
17508,"$50,000 under $75,000",90
17508,"$75,000 under $100,000",70
17508,"$100,000 under $200,000",100
17508,"$200,000 or more",** 0
,,
17509,,"1,950"
17509,"$1 under $25,000",680
17509,"$25,000 under $50,000",560
17509,"$50,000 under $75,000",280
17509,"$75,000 under $100,000",170
17509,"$100,000 under $200,000",210
17509,"$200,000 or more",50
,,
17512,,"8,680"
17512,"$1 under $25,000",3590
17512,"$25,000 under $50,000",2250
17512,"$50,000 under $75,000",1180
17512,"$75,000 under $100,000",760
17512,"$100,000 under $200,000",780
17512,"$200,000 or more",120
,,
17516,,"2,340"
17516,"$1 under $25,000",810
17516,"$25,000 under $50,000",500
17516,"$50,000 under $75,000",360
17516,"$75,000 under $100,000",280
17516,"$100,000 under $200,000",330
17516,"$200,000 or more",60
,,
17517,,"7,520"
17517,"$1 under $25,000",2510
17517,"$25,000 under $50,000",1620
17517,"$50,000 under $75,000",1330
17517,"$75,000 under $100,000",880
17517,"$100,000 under $200,000",980
17517,"$200,000 or more",200
,,
17518,,540
17518,"$1 under $25,000",180
17518,"$25,000 under $50,000",130
17518,"$50,000 under $75,000",100
17518,"$75,000 under $100,000",50
17518,"$100,000 under $200,000",80
17518,"$200,000 or more",** 0
,,
17519,,"2,790"
17519,"$1 under $25,000",1000
17519,"$25,000 under $50,000",610
17519,"$50,000 under $75,000",490
17519,"$75,000 under $100,000",270
17519,"$100,000 under $200,000",330
17519,"$200,000 or more",90
,,
17520,,"2,500"
17520,"$1 under $25,000",810
17520,"$25,000 under $50,000",590
17520,"$50,000 under $75,000",420
17520,"$75,000 under $100,000",310
17520,"$100,000 under $200,000",320
17520,"$200,000 or more",50
,,
17522,,"16,190"
17522,"$1 under $25,000",5560
17522,"$25,000 under $50,000",4260
17522,"$50,000 under $75,000",2760
17522,"$75,000 under $100,000",1660
17522,"$100,000 under $200,000",1640
17522,"$200,000 or more",310
,,
17527,,"3,010"
17527,"$1 under $25,000",1120
17527,"$25,000 under $50,000",750
17527,"$50,000 under $75,000",460
17527,"$75,000 under $100,000",290
17527,"$100,000 under $200,000",300
17527,"$200,000 or more",90
,,
17529,,"1,820"
17529,"$1 under $25,000",700
17529,"$25,000 under $50,000",500
17529,"$50,000 under $75,000",280
17529,"$75,000 under $100,000",140
17529,"$100,000 under $200,000",140
17529,"$200,000 or more",60
,,
17532,,"1,580"
17532,"$1 under $25,000",530
17532,"$25,000 under $50,000",350
17532,"$50,000 under $75,000",290
17532,"$75,000 under $100,000",170
17532,"$100,000 under $200,000",210
17532,"$200,000 or more",30
,,
17535,,"1,180"
17535,"$1 under $25,000",440
17535,"$25,000 under $50,000",330
17535,"$50,000 under $75,000",190
17535,"$75,000 under $100,000",100
17535,"$100,000 under $200,000",90
17535,"$200,000 or more",30
,,
17536,,"1,190"
17536,"$1 under $25,000",420
17536,"$25,000 under $50,000",280
17536,"$50,000 under $75,000",180
17536,"$75,000 under $100,000",130
17536,"$100,000 under $200,000",160
17536,"$200,000 or more",20
,,
17538,,"3,180"
17538,"$1 under $25,000",980
17538,"$25,000 under $50,000",530
17538,"$50,000 under $75,000",450
17538,"$75,000 under $100,000",380
17538,"$100,000 under $200,000",700
17538,"$200,000 or more",140
,,
17540,,"4,950"
17540,"$1 under $25,000",1800
17540,"$25,000 under $50,000",1230
17540,"$50,000 under $75,000",760
17540,"$75,000 under $100,000",500
17540,"$100,000 under $200,000",540
17540,"$200,000 or more",120
,,
17543,,"21,730"
17543,"$1 under $25,000",6960
17543,"$25,000 under $50,000",4280
17543,"$50,000 under $75,000",3230
17543,"$75,000 under $100,000",2440
17543,"$100,000 under $200,000",3460
17543,"$200,000 or more",1360
,,
17545,,"10,900"
17545,"$1 under $25,000",3700
17545,"$25,000 under $50,000",2430
17545,"$50,000 under $75,000",1760
17545,"$75,000 under $100,000",1220
17545,"$100,000 under $200,000",1440
17545,"$200,000 or more",350
,,
17547,,"3,780"
