"ZIP
code [1]",Size of adjusted gross income,Number of returns
,,
,,(1)
15061,"$1 under $25,000",2330
15061,"$25,000 under $50,000",1560
15061,"$50,000 under $75,000",1010
15061,"$75,000 under $100,000",620
15061,"$100,000 under $200,000",830
15061,"$200,000 or more",90
,,
15062,,"3,390"
15062,"$1 under $25,000",1520
15062,"$25,000 under $50,000",850
15062,"$50,000 under $75,000",480
15062,"$75,000 under $100,000",290
15062,"$100,000 under $200,000",250
15062,"$200,000 or more",** 0
,,
15063,,"5,750"
15063,"$1 under $25,000",2050
15063,"$25,000 under $50,000",1410
15063,"$50,000 under $75,000",910
15063,"$75,000 under $100,000",600
15063,"$100,000 under $200,000",680
15063,"$200,000 or more",100
,,
15064,,190
15064,"$1 under $25,000",80
15064,"$25,000 under $50,000",50
15064,"$50,000 under $75,000",40
15064,"$75,000 under $100,000",** 0
15064,"$100,000 under $200,000",20
15064,"$200,000 or more",** 0
,,
15065,,"5,860"
15065,"$1 under $25,000",2120
15065,"$25,000 under $50,000",1510
15065,"$50,000 under $75,000",920
15065,"$75,000 under $100,000",610
15065,"$100,000 under $200,000",580
15065,"$200,000 or more",120
,,
15066,,"6,070"
15066,"$1 under $25,000",2560
15066,"$25,000 under $50,000",1570
15066,"$50,000 under $75,000",870
15066,"$75,000 under $100,000",500
15066,"$100,000 under $200,000",520
15066,"$200,000 or more",50
,,
15067,,"1,120"
15067,"$1 under $25,000",470
15067,"$25,000 under $50,000",290
15067,"$50,000 under $75,000",170
15067,"$75,000 under $100,000",100
15067,"$100,000 under $200,000",90
15067,"$200,000 or more",** 0
,,
15068,,"19,290"
15068,"$1 under $25,000",7460
15068,"$25,000 under $50,000",4600
15068,"$50,000 under $75,000",2800
15068,"$75,000 under $100,000",1860
15068,"$100,000 under $200,000",2210
15068,"$200,000 or more",360
,,
15071,,"5,680"
15071,"$1 under $25,000",1680
15071,"$25,000 under $50,000",1230
15071,"$50,000 under $75,000",890
15071,"$75,000 under $100,000",600
15071,"$100,000 under $200,000",1030
15071,"$200,000 or more",250
,,
15074,,"4,570"
15074,"$1 under $25,000",1920
15074,"$25,000 under $50,000",1250
15074,"$50,000 under $75,000",630
15074,"$75,000 under $100,000",400
15074,"$100,000 under $200,000",340
15074,"$200,000 or more",30
,,
15076,,530
15076,"$1 under $25,000",230
15076,"$25,000 under $50,000",160
15076,"$50,000 under $75,000",70
15076,"$75,000 under $100,000",40
15076,"$100,000 under $200,000",30
15076,"$200,000 or more",** 0
,,
15078,,250
15078,"$1 under $25,000",110
15078,"$25,000 under $50,000",60
15078,"$50,000 under $75,000",40
15078,"$75,000 under $100,000",40
15078,"$100,000 under $200,000",** 0
15078,"$200,000 or more",** 0
,,
15083,,490
15083,"$1 under $25,000",180
15083,"$25,000 under $50,000",130
15083,"$50,000 under $75,000",80
15083,"$75,000 under $100,000",50
15083,"$100,000 under $200,000",50
15083,"$200,000 or more",** 0
,,
15084,,"4,920"
15084,"$1 under $25,000",1980
15084,"$25,000 under $50,000",1300
15084,"$50,000 under $75,000",740
15084,"$75,000 under $100,000",420
15084,"$100,000 under $200,000",430
15084,"$200,000 or more",50
,,
15085,,"4,130"
15085,"$1 under $25,000",1440
15085,"$25,000 under $50,000",910
